TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
3.967657,374324.8,199075.5,347396.3,420.0425,529.9894,471.123
3.973086,334550.8,148851.4,265658.1,241.9392,306.1732,166.3359
3.978217,262570.1,141834.6,249113.2,208.2296,295.1431,227.488
3.983588,364157.3,192171.8,451515.1,442.3681,364.3907,246.9971
3.989588,605400.6,208557.4,834428.5,875.2839,1251.619,1549.652
4.039188,483195.1,235052.2,489445.5,481.7401,607.4948,525.7277
4.049977,330601.6,195967.5,354744.1,306.3354,446.8362,330.6959
4.053189,337861.1,141712.5,375053.3,283.9803,294.0961,561.9294
4.07688,388646.2,213001.6,466474.6,282.2402,442.0584,400.2975
4.077188,260154.7,124893.4,543144.6,714.8759,619.4687,955.5616
4.084857,422362.1,240087.7,405833.3,395.269,440.1709,796.8642
4.101429,660811.4,296894.1,588683.4,466.9646,579.3445,831.1194
4.120434,376029.5,206458.6,385640.5,569.2582,904.142,840.1735
4.159063,291325.5,165471,375297.4,446.379,561.3986,425.705
4.168514,309625.2,144100.3,504256.6,474.3671,521.5251,507.3541
4.281486,266878.1,139871.2,308848.1,328.1301,317.7488,238.7835
4.29176,400414.5,182909.4,495774.6,345.265,491.2809,492.9767
4.299531,353074.2,170698.1,447705.8,246.8496,634.9668,396.8469
4.321097,380118.3,172402.7,417769.2,541.8157,683.2897,541.742
4.330686,335453.5,168190.4,484820.1,411.0031,492.1656,489.3196
4.333794,192045,93290.4,476934.4,529.7829,829.8954,755.2065
4.341474,196929,118368.3,380647.5,487.1077,503.6086,287.3276
4.361646,288951.2,152827.4,340696.9,317.7488,420.0867,402.4651
4.375509,251801.8,116841.8,386252.6,314.6522,531.4197,398.9113
4.407646,321864.9,199146.1,351574,485.1613,406.2254,233.6224
4.432777,423012.4,201561.9,447346.3,374.1821,734.5325,534.6491
4.434674,470159.8,194591,492638.6,485.8101,267.5679,501.6769
4.457646,266468.5,156884,451942.2,475.9597,566.5302,469.9728
4.488594,272739.8,155445.9,274843.5,184.2377,477.3606,362.636
4.494857,448073.7,216992.2,505205.9,466.1388,710.4816,714.2713
4.502766,278121.3,125801.8,297431.9,278.598,560.4843,354.8647
4.50296,208770.7,106160.3,469918.2,468.5424,345.1913,285.2927
4.520869,345792.3,161502.9,263193.4,255.3434,583.5914,553.1407
4.533188,373330.3,171420.5,443242.9,562.6962,611.5942,479.1301
4.536434,509588,212763,495103.3,550.1178,870.3292,782.6637
4.543063,409485.5,212261.3,510262.9,557.0485,663.8986,465.8291
4.608229,286708.7,152951.7,283356.8,282.019,265.8721,310.3758
4.623486,412470,186858.6,390128.9,485.1317,784.3595,411.1801
4.625291,459982.4,211426.9,603722.3,627.1219,480.7079,669.8561
4.639417,224862.7,161784,345537.2,386.9228,371.6458,383.8113
4.648571,222510.2,130842.9,517367,369.3454,463.8826,410.9294
4.653337,247459.8,142094.4,239519.9,194.3388,347.241,460.9187
4.73656,250166,133528.6,510909.5,529.2668,541.9042,491.5021
4.75048,180317.1,84629.44,413686,404.7508,294.2878,352.7561
4.818137,477567.6,262341,542034.9,608.4681,592.8224,380.5525
4.825303,566225.1,277394.9,434077.1,385.2417,187.9832,160.6292
4.833554,379784.4,201874.4,502102.6,396.3013,1291.92,577.1326
4.836686,282043.1,129438.4,438971.8,521.0975,596.0076,465.6227
4.855017,201656.1,100951.2,372358.2,425.3511,268.3789,374.9784
4.885806,438314.8,253069.6,595550.1,521.3776,656.6288,519.962
4.927029,409395.8,193071.2,487509.6,381.3045,429.4948,434.125
4.952263,328118.1,138098.2,499258.2,573.9033,404.1462,443.5183
4.959063,318773.3,161305.8,537077.3,615.5905,476.6675,507.2509
4.995143,283701.8,139297.8,363004.8,479.8821,676.5656,581.7039
5.0004,275310,137592,305976.7,463.4108,385.2859,440.7755
5.001017,380034.1,166271.8,422862.4,473.7183,395.3428,247.4984
5.06008,274108.6,143089,216371.2,303.3567,282.4467,274.7345
5.076709,267946.3,166778.1,442938,283.877,814.8839,752.1098
5.077303,177139.2,86335.2,429914.5,455.1382,350.6179,342.1094
5.077669,447913.4,236689.6,568987,443.9312,866.9229,803.0428
5.108206,504795.1,266434.6,459727.7,528.3378,422.682,300.5401
5.108652,290450.3,133336,358758.3,588.8558,894.041,633.7724
5.114411,316826.3,198739.5,382563.2,275.3833,333.6009,429.7749
5.125371,439205.5,226324,490142.6,438.3571,564.3478,596.8334
5.127223,236678.5,114374.4,462243.8,599.4287,663.8544,536.6989
5.132731,278280.5,122456.3,404183.8,418.7301,469.2502,492.8292
5.156217,392761.4,200673.8,420129.4,256.6263,279.1878,259.4723
5.179383,458181.2,219284.8,446543.6,703.4182,441.2769,317.6014
5.180068,337801.2,145959.5,412242.5,653.2077,725.0507,541.3291
5.184492,282496.1,157451.8,432323,355.956,616.8734,443.4888
5.196423,254868.9,129827,312297.7,322.2611,559.0981,568.8011
5.200149,530476.3,228179.8,397676.6,346.9608,473.5266,458.633
5.2352,399808.3,181538.6,355321.9,223.1674,359.5835,498.477
5.241611,263692.3,148506.4,312028.3,265.5919,573.3281,551.6367
5.247989,368826.3,129569.4,696059.3,523.4126,837.3422,761.8717
5.270274,403720.2,224106.4,424221.4,390.4323,319.3562,416.9606
5.27976,522160.6,214624.5,778292.8,749.485,880.6515,658.5016
5.290846,361568,137122.7,723403.6,496.501,844.2286,928.8564
5.3888,605604.9,233915.4,477319.3,308.0312,366.1898,120.4756
5.432114,364805.4,179250.4,641419.6,264.6187,657.9707,576.2036
5.432126,402561.9,189810.9,558817.2,174.0039,1157.141,777.5173
5.454674,363508.5,149172.8,584239.9,617.2568,475.8417,633.1383
5.467817,317764.3,168082.9,418283.1,460.609,670.0625,506.9707
5.4928,497930.1,229953.9,473708.3,429.2293,1117.459,1105.19
5.496926,381209,130037.6,718812.9,492.3426,865.5367,816.1816
5.539966,353900.9,191129.1,385055.4,486.5474,429.2736,282.314
5.566377,421412.1,233879.5,427311.6,369.0505,579.6984,521.127
5.578537,209015.6,87711.68,499728.3,381.2013,436.7056,459.9749
5.614983,356206.9,210581.3,381739.6,486.2967,488.081,466.8318
5.660708,417895.1,228308.6,326026.1,479.9264,490.4256,419.143
5.676126,549286.5,219326.2,566206.8,621.769,645.0679,496.1766
5.733669,435717.4,186800.3,351343.4,450.0508,811.0204,857.043
5.75496,256358.5,111809.6,342431.2,402.0375,429.0524,314.2982
5.771646,346403.3,174365,348047.6,292.0759,448.5467,405.3996
5.786286,582200.8,257841.9,524430,619.5866,804.1487,536.9938
5.810583,236235.4,107792.2,306437.1,392.7475,316.9673,340.0007
5.837577,307170.3,173236,429242.6,514.0636,257.9239,457.2026
5.852137,560399.9,246844.6,625650.1,576.0562,857.7656,799.0466
5.88576,332270.5,143477.6,472000.3,726.658,793.561,487.0487
5.932606,234242.7,129993.9,282992,394.4728,728.2801,493.9499
5.945486,298740.7,158362.4,468286.9,363.3143,628.1393,411.1506
5.9468,301890.3,141189.4,550166.8,493.3453,845.3936,817.1253
5.959726,368083,187514.9,305033.4,426.9289,383.3837,354.7468
5.961623,361621.5,197899.5,257151.3,299.9503,291.4713,269.2047
5.972766,429350,183404.5,629079.4,573.3281,851.3068,619.2917
5.979097,430438.8,185077.8,434466.6,340.4873,513.7834,657.72
6.018548,605712.4,279972,546634.3,602.4074,508.1799,239.7862
6.049977,546631.3,241625.4,645632,694.5263,775.2021,738.8383
6.050126,210168,105838.9,305316.3,286.2659,527.4678,406.2549
6.068206,400915.2,228550.6,532894.1,706.4116,501.4409,528.3525
6.086903,473308.7,177889.6,584909.2,548.0091,591.1857,595.6095
6.092171,336118.9,177754.1,596893.3,686.2832,577.2358,754.7346
6.111211,325413.3,158371.4,406600.3,588.0005,562.2096,545.5465
6.123085,350999.9,172428.5,561041.6,557.4908,1018.395,738.4402
6.128983,444293.4,196499.5,508514.7,513.1494,462.7619,718.8131
6.152812,275201.7,130110.4,367715.2,311.8946,535.1063,304.4626
6.163954,550243.9,277523.7,532671.1,462.9536,139.4538,328.4398
6.16792,352619.6,189622.7,347139.9,334.2202,260.416,274.1004
6.173051,333390.8,171043,326945.6,439.6253,881.0791,756.9023
6.187977,379323.8,202680.8,421069.2,504.744,202.921,391.4498
6.200708,333357.3,155273.4,509796.4,539.7808,567.7836,522.8228
6.213337,409661.4,207979.5,461478.5,588.8558,168.6953,304.7575
6.237943,251872.5,128291.5,361258.2,316.8493,292.415,422.8
6.322651,454372.2,217043.7,668033.6,744.545,797.1149,729.7842
6.324674,347047.7,174317.9,414035.4,447.6914,253.9572,445.4058
6.373828,445502.5,199181.9,649033,525.4033,756.4009,729.0322
6.43032,278428.8,117498.1,480567,481.3715,590.1682,573.6525
6.457314,576068.8,222399.5,844562.5,2657.983,2673.85,1188.447
6.460469,405711.5,208723.2,440936.6,575.8497,354.1717,560.0419
6.470743,366238.5,245772.8,374057.2,357.9467,664.5622,666.4055
6.483794,495492.6,241296.2,487712.6,471.5801,592.5423,513.6507
6.50416,353416.9,146123,683362.4,624.4233,330.4305,447.3523
6.506011,262442.8,136867.4,344040.1,353.7735,653.5616,484.3944
6.614275,348958.3,167478.1,365324.4,401.3739,412.9201,410.9589
6.623931,234335,116931.4,338525.8,353.4491,623.9515,503.3579
6.629748,405519.1,180466.7,721451.9,422.2397,776.839,829.8954
6.64832,360776.7,191745.1,465936.8,527.1876,438.2244,397.363
6.674617,480253.7,168621.6,578012.8,626.2371,586.9093,658.1919
6.701897,325853.2,164382.4,393284.8,396.8174,390.1079,554.9692
6.702114,441238.6,211992.5,589858.2,874.5024,674.7223,732.0994
6.716834,345901.8,154448,443238.6,479.7642,326.8324,610.2671
6.720857,545140.9,232635.2,757076.3,699.3483,801.1111,563.5073
6.727806,478246.6,188370.6,701603.6,1426.935,1127.516,620.5156
6.7448,334392.5,158569.6,631677.4,367.7381,253.4411,497.2825
6.763554,524148.4,208933.8,435129.9,472.6713,533.4252,551.0468
6.764925,411951.5,185929,535801.6,328.0711,351.6206,367.1188
6.78168,390780.8,195304.5,638804.1,769.5102,402.6569,619.7046
6.804023,458802.5,211605,361113.8,525.0347,385.5071,361.2498
6.820754,320861.4,149269.1,364505.8,369.2274,295.0988,299.1688
6.826743,558929.2,258507.2,709815.4,750.0896,545.1188,891.9175
6.830926,239898.7,117771.4,249686.9,171.5118,304.2267,196.3
6.83512,370813.3,185581.8,335531.8,552.7278,409.2484,326.3606
6.841052,455514,216337,485263.2,300.9825,895.9285,871.5384
6.896069,581017.1,269123.7,722846.1,521.82,993.4001,1187.827
6.896469,531530.3,214275,439341.1,435.7029,704.5536,600.0776
6.897497,216250.8,111639.4,374473.2,329.5752,316.0383,302.6341
6.917337,400465.5,156648.8,643873.8,720.3762,512.5005,421.6646
6.931806,316797.4,138770.2,415705.7,444.1081,460.3878,581.1288
6.941132,225826.3,109623.4,425159,484.0405,257.9534,409.3958
6.9516,299312.7,163635.4,280392.1,409.617,258.2926,315.5222
6.969577,287461.1,148320.5,223249.5,497.7544,768.8761,759.2911
6.975417,473820,207676,726248.3,688.7606,711.676,460.9334
6.990469,623674,301180.3,781141.4,786.7189,885.1196,978.949
6.99656,319798.7,157109.1,323654.2,472.6713,567.7394,523.7223
7.002137,487294.8,193697.3,726230.1,758.0082,1009.429,1089.368
7.003577,360855,195668.5,679871.4,634.8488,729.4598,599.296
7.0064,279956.3,123281.8,448097.8,535.8583,280.9721,472.0372
7.025772,363450.6,178531.4,452642.8,501.9276,385.3154,466.242
7.050171,277436.5,138611.2,430116.3,582.4117,595.8602,435.0245
7.065246,389297.6,154740.3,576752.6,875.3871,709.3756,1067.426
7.076068,475332,229824,486750.2,390.8452,520.2864,521.2744
7.076206,380784.3,201367,373110.2,252.3499,169.5948,233.0325
7.099211,602642.6,270424,543021.4,863.2068,742.923,767.7554
7.124309,450645.4,257555.2,438457.8,233.8141,877.9235,401.949
7.129497,237199.3,144159.7,393603.8,382.8971,545.7087,496.3388
7.138263,289935.7,141486.2,416305.8,325.1514,500.7479,603.1743
7.15336,431134.8,200400.5,682052,501.6326,746.2998,496.3388
7.179977,347065.3,165881,562201.3,531.4935,415.7956,405.9452
7.26872,363593.2,212471.8,451401.3,513.7539,628.4196,678.6743
7.269623,320624.4,126878.1,482928.8,478.5845,296.1016,502.1487
7.284663,272558.4,134813.3,584985.9,673.2034,1479.608,1452.136
7.289006,348911.6,158325.4,571696,470.769,574.1539,274.9262
7.349211,350138,186270.6,367283.4,491.1629,1143.412,1026.697
7.357943,267275.3,119838.9,406933.3,434.5674,509.9937,277.0791
7.400891,355883.2,152167.7,473488.9,449.6526,468.7783,416.3117
7.41416,245715.3,124761.3,380996.2,326.744,516.8948,511.8812
7.442149,429698.4,228132.8,573436.1,706.9572,258.6023,533.3662
7.4488,389178.4,192943.5,366926.5,510.5835,481.8876,514.5355
7.450046,324086.1,165631.2,392039.7,383.369,456.3179,196.2853
7.458023,346109.2,179769,276987.8,189.7233,391.671,284.4079
7.481897,462120.2,218169.3,569685.8,685.4279,441.8667,411.7109
