TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
0,469119.1,243666.1,556175.9,1468.623,603.4987,3946.939
0.003771428,414573.1,257872.2,347782.7,230.7174,309.8744,384.7256
0.006342857,415560,221053.3,376517.6,3332.175,168.4741,2382.246
0.01110857,484200.5,244939.5,727084.8,1389.495,461.3758,2021.365
0.01416,324830.3,141027,380785.4,4990.609,463.2485,2151.337
0.01572572,479415.2,230117.4,567771.6,278.4652,375.2144,429.1851
0.01933714,286869.2,148622.9,477136.1,1110.72,501.4704,661.8637
0.03525714,521358.8,248390.2,713443.2,4244.147,805.5791,7862.573
0.03770286,423651.6,282969.1,404857.7,213.4645,111.0086,78.13955
0.04142857,487673.3,279751.4,520375.2,316.171,606.728,382.6759
0.04578286,402809.8,196803,519133.3,4634.83,1178.508,4943.142
0.05628571,415726.8,223726.7,469491.3,925.6713,363.7124,1567.938
0.07981715,387045,256406.1,319217.8,318.7221,254.1637,311.585
0.09438857,338595.7,185185.3,282681.2,1477.323,349.6741,5263.279
0.1031314,292429.3,163757.4,337895.2,1202.455,200.075,917.502
0.1281257,465700.9,253778.6,460042.9,466.0945,633.6249,736.125
0.1409943,504744.7,272646.1,388193,483.2295,582.9279,486.5179
0.1424,602225.1,336109.8,654445.1,570.7476,558.8327,252.5858
0.1697943,246811.2,110106.1,407618.9,335.6211,498.6244,407.4641
0.1894971,385752.2,207091.4,505582.3,4903.873,902.9181,3383.255
0.1929029,539895.3,320575.4,390726.7,270.5023,291.9727,355.1744
0.1957714,514676.5,252845.6,588256.2,3034.614,253.8983,7079.025
0.2075086,374581.6,184608.5,382105.6,687.5956,279.3795,5185.951
0.2101257,434417.3,237722.2,499126.1,2715.405,536.6104,5072.007
0.2296,384924.7,197991.4,337834.3,1655.942,247.7196,6318.421
0.2328686,436892,236047.8,499798.3,1094.308,326.3458,2702.34
0.2397486,519639.3,269286.1,482915.5,348.7746,128.5122,202.11
0.2439314,524599.5,264317.8,590290.3,1627.969,319.6068,2561.986
0.2523657,425789.2,229495.8,396557,481.7254,316.4659,962.0499
0.2605257,589495.1,299734.4,653132,1758.767,454.8875,3232.285
0.2605257,432056.4,219069.8,506495.8,2110.284,472.7303,2202.536
0.2738743,493212.1,252604.8,595713.6,364.7594,672.0827,588.5314
0.2769486,474919.1,246055,573596.5,540.4738,309.2108,220.2477
0.2912571,446853.5,187892.3,600343.8,2635.451,688.1707,1422.025
0.2950514,371038.9,211098.7,348017.6,355.3219,131.8153,551.5187
0.3030743,418552.1,171927.8,607099.4,6064.066,649.123,11828.98
0.3040914,465072.3,248465.3,459528.4,8321.634,496.0586,3313.241
0.3091657,461398.2,196906.1,710815.2,6151.702,1177.594,24938.45
0.3458057,590199.3,295101,599301.3,329.3983,437.2217,364.435
0.36048,450914.5,224854.6,494582.7,381.0096,614.3076,494.2891
0.3610286,501816.6,253014.7,649960.9,1541.409,631.7964,4107.938
0.3671771,484230.6,301688.8,494914.5,1425.534,485.235,2399.426
0.3761943,411928.1,198732.8,512177.6,460.1076,575.5253,621.1349
0.3934514,511777.3,230477,559523.5,490.5288,258.3221,397.8054
0.3964571,374105.2,194295.4,465718.5,3139.06,620.8105,8261.102
0.4062857,441845.8,250242.7,517794.8,399.2947,375.3029,400.6514
0.40888,560799.1,241411.5,785686.2,603.9557,692.4913,658.3394
0.4177143,612561.1,328894.7,675696.4,373.7545,340.1629,549.2183
0.4202172,406139.1,190796.5,473817.5,461.7592,329.295,389.7688
0.4801371,404757.3,190745,568602.8,269.1752,287.2982,350.3819
0.4837714,303818.8,161444.6,560970,5932.472,1244.305,3842.036
0.5043657,498443,257653.8,528907.7,1428.056,258.6907,3713.288
0.5125828,382105.3,212779.8,418367.9,246.186,147.2397,329.4867
0.5156686,664572.7,355168.8,608731.8,428.4625,587.6613,562.7257
0.5382514,494644.7,228835,559584.5,492.6965,434.1103,569.1697
0.5437828,569000.6,263453.1,513146.2,445.5532,729.799,632.4894
0.5464228,254057,135193,514102.2,5765.575,891.4899,9814.765
0.5798171,350704.7,157496.6,614168,10608.83,505.7615,11814.23
0.5825943,376197.8,170069.8,622717.5,679.5295,413.6574,1318.728
0.5961943,321216.7,143616.5,334857.9,496.9286,226.559,255.5941
